numhits,legalStatus,contactCountry
1,AISBL - International Non-Profit Association under Belgian law (Association international sans but lucrative),BELGIUM
1,AISBL - association internationale sans but lucratif,BELGIUM
1,AISBL - registered number 0879 438 919,BELGIUM
1,AISBL - under Belgian law,BELGIUM
1,AISBL / non-profit association,DENMARK
1,AISBL droit Belge,BELGIUM
2,AISBL nach belgischem Recht,BELGIUM
3,AISBL under Belgian Law,BELGIUM
1,AISBL under Belgian law,BELGIUM
1,AISBL: Association Internationale Sans But Lucratif,BELGIUM
2,AISLB,BELGIUM
1,AS,NORWAY
1,ASBL,UNITED KINGDOM
1,ASBL,GERMANY
61,ASBL,BELGIUM
1,ASBL,LUXEMBOURG
1,ASBL,TURKEY
1,ASBL,SWEDEN
2,ASBL,FRANCE
1,ASBL,ITALY
1,ASBL (Belgian not-for-profit organisation),BELGIUM
1,ASBL (non-profit organisation); registered under Belgium law,BELGIUM
1,ASBL (under Belgian law),BELGIUM
1,ASBL - Association Sans But Lucratif,BELGIUM
1,ASBL - EANAM,BELGIUM
1,ASBL Association,BELGIUM
1,ASBL International,BELGIUM
1,ASBL NGO,BELGIUM
1,ASBL according Belgian law,BELGIUM
1,ASBL belge,BELGIUM
1,ASBL de droit français,FRANCE
1,ASBL de droit suisse,SWITZERLAND
1,ASBL under Belgian law (No. 873.890.618),BELGIUM
1,ASBL under Belgium law,BELGIUM
1,ASBL – registered number 4783.320.41,NETHERLANDS
1,"ASBL, association sans but lucratif",BELGIUM
2,ASBL/VZW,BELGIUM
1,ASLB,BELGIUM
4,ASOCIACION,SPAIN
1,ASOCIACION DE EMPRESARIOS,SPAIN
1,ASOCIACION PROFESIONAL,SPAIN
1,ASOCIACION PROFESIONAL SIN ANIMO DE LUCRO,SPAIN
1,ASOCIACION SOCIO-CULTURAL SIN FINES DE LUCRO,SPAIN
1,ASOCIACIÓN,SPAIN
1,ASOCIACIÓN DE INTERÉS UNIVERSITARIO,SPAIN
1,ASOCIACIÓN EMPRESARIAL,SPAIN
1,ASSOCIATION,IRELAND
1,ASSOCIATION,BELGIUM
3,ASSOCIATION,FRANCE
3,ASSOCIATION,ITALY
1,ASSOCIATION A BUT NON LUCRATIF,MAURITANIA
2,ASSOCIATION LOI 1901,FRANCE
1,ASSOCIATION LOI 1901 PARIS FRANCE,BELGIUM
1,ASSOCIATION NO PROFIT,ITALY
1,ASSOCIATION SANS BUT LUCRATIF,BELGIUM
1,ASSOCIATION SANS BUT LUCRATIF (SUR BASE DU CODE FRANCAIS DU TRAVAIL - LOI DE 1884),FRANCE
1,ASSOCIATION SYNDICALE,GERMANY
1,ASSOCIATIONS UTILITE PUBLIQUE,FRANCE
5,ASSOCIAZIONE,ITALY
3,ASSOCIAZIONE DI CATEGORIA,ITALY
1,ASSOCIAZIONE DI PROFESSIONISTI,ITALY
6,ASSOCIAZIONE E SOGGETTO DI DIRITTO INTERNAZIONALE.,ITALY
1,"ASSOCIAZIONE LIBERA, VOLONTARIA E SENZA FINE DI LUCRO",ITALY
1,ASSOCIAZIONE ONLUS,ITALY
1,ASSOCIAZIONE PROFESSIONALE,ITALY
1,ASSOCIAZIONE RICONOSCIUTA,ITALY
1,ASSOCIAZIONE SENZA FINE DI LUCRO,ITALY
1,ASSOCIAZIONE SENZA SCOPO DI LUCRO,ITALY
1,ASSOCIAZIONE-FEDERAZIONE DI ONG,ITALY
1,ASSOSIATION,TURKEY
1,Aatteellinen yhdistys,FINLAND
1,Academic Research Centre,UNITED KINGDOM
1,Academic institution,ITALY
1,"Accelper Consulting Iberia,Ldª",PORTUGAL
1,Accredited Foundation (NGO),HONDURAS
1,Active,SPAIN
1,Active,BELGIUM
1,Administración regional,SPAIN
1,Advisor,ITALY
1,Advokatfirmaet Frederik Madsen,DENMARK
1,Afffilated Organisation of CEFIC,BELGIUM
1,"Agreement between DR,NRK,RUV,SVT,SR,UR and YLE",BELGIUM
1,"Agreement between, DR, NRK,RUV,SVT,SR,UR and YLE",BELGIUM
1,AiSBL,BELGIUM
1,AiSBL (non profit international association),BELGIUM
9,Aisbl,BELGIUM
1,Aktie Bolag,SWEDEN
4,Aktiebolag,SWEDEN
1,Aktiengesellschaft,BELGIUM
2,Aktiengesellschaft,SWITZERLAND
24,Aktiengesellschaft,GERMANY
7,Aktiengesellschaft,AUSTRIA
2,Aktieselskab,DENMARK
1,Aktionsbündnis,GERMANY
1,Alapított társadalmi intézmény,HUNGARY
1,Alapítvány,HUNGARY
1,Alapítvány (Foundation),HUNGARY
1,Amway Belgium Co,UNITED STATES
1,An informal forum of twenty one of the leading middle-sized accounting networks and associations.,BELGIUM
1,Anstalt des Öffentlichen Rechts,GERMANY
1,Anstalt des Öffentlichen Rechts und Gesellschaft mit beschränkter Haftung,GERMANY
1,Anstalt des öffentlichen Rechts,GERMANY
1,Arbeitsgemeinschaft,GERMANY
1,Arbeitsgemeinschaft der Landesaerztekammern/nicht eingetragener Verein,GERMANY
1,Arbitration Board,HUNGARY
1,Arrêté n° 0335/MISPD/AR/DGAPJ/DLP,NIGER
10,Asbl,BELGIUM
1,Asbl,LUXEMBOURG
1,Asbl under Belgian law,BELGIUM
1,Asociacija,LITUANIA
2,Asociacion,SPAIN
9,Asociación,SPAIN
1,Asociación Civil sin Fines de Lucro,NICARAGUA
1,Asociación Multisectorial de la Información,SPAIN
1,Asociación de Empresas,SPAIN
2,Asociación empresarial,SPAIN
1,Asociación nacional y entidad de crédito,SPAIN
1,Asociación profesional,SPAIN
1,Asociación profesional sin ánimo de lucro,SPAIN
1,Asociación sin Animo de Lucro,SPAIN
1,Asociación sin fin de lucro,SPAIN
1,Asociación sin fin lucrativo,SPAIN
1,Asociación sin fines lucrativos,SPAIN
11,Asociación sin ánimo de lucro,SPAIN
1,"Asociación sin ánimo de lucro de ámbito nacional, registrada como tal en el Registro Nacional de Asociaciones con el número 3.943 y declarada de Utilidad Pública",SPAIN
1,Asociatie,ROMANIA
1,Asociation,COSTA RICA
1,Asociation - Order,SPAIN
1,Asociativa,SPAIN
1,Asociaţie Obştească,"MOLDOVA, REPUBLIC OF"
1,Assocation,LUXEMBOURG
1,Associació,SPAIN
10,Association,SPAIN
9,Association,ITALY
1,Association,GREECE
1,Association,ICELAND
3,Association,TURKEY
1,Association,MONACO
27,Association,FRANCE
2,Association,HUNGARY
4,Association,UNITED KINGDOM
3,Association,AUSTRIA
15,Association,NETHERLANDS
8,Association,BELGIUM
8,Association,GERMANY
1,Association,POLAND
5,Association,FINLAND
5,Association,SWEDEN
3,Association,SWITZERLAND
1,Association,CAMEROON
2,Association,ROMANIA
10,Association,DENMARK
1,Association,PORTUGAL
1,Association,LITUANIA
1,Association,SLOVENIA
1,Association,UNITED STATES
1,Association  (asbl),SPAIN
1,Association  loi 1901 France,FRANCE
1,Association (AISBL),BELGIUM
1,Association (NEMO is administered legally by the German Museums Association),GERMANY
1,Association (loi 1901),FRANCE
1,"Association (loi 1901) W783000168, JO 13/12/2008",FRANCE
1,Association (stowarzyszenie),POLAND
1,Association - Loi 1901,FRANCE
1,Association - NGO,FRANCE
1,Association / Vereniging,NETHERLANDS
1,Association 1901,FRANCE
3,Association International Sans But Lucratif,BELGIUM
2,Association Internationale Sans But Lucratif,BELGIUM
1,Association Internationale de Loi 1901 (FR) créée en 1981,FRANCE
1,Association Internationale sans But Lucratif (AISBL),FRANCE
1,Association Internationale sans but lucratif,BELGIUM
1,Association Internatione sans but lucratif -  aisbl,BELGIUM
2,Association Loi 1901,FRANCE
1,Association Loi 1901 (non profit organisation under French law),FRANCE
1,Association Loi 1901 Les Blessés de Next,FRANCE
3,Association Loi de 1901,FRANCE
1,Association Professionnelle,FRANCE
3,Association Sans But Lucratif,BELGIUM
1,Association Sans But Lucratif,LUXEMBOURG
1,Association Sans But Lucratif (ASBL),"CONGO, DEMOCRATIC REPUBLIC OF"
1,Association Sans But Lucratif (ASBL),BELGIUM
1,Association af public purchasers,DENMARK
1,Association d'utilité publique,FRANCE
3,Association de Fait,BELGIUM
1,Association de developpement,CHAD
1,Association de droit alsacien-mosellan,FRANCE
1,Association de droit français,FRANCE
2,Association de droit français (loi 1901),FRANCE
1,Association de droit local,FRANCE
1,Association de facto,BELGIUM
7,Association de fait,BELGIUM
1,Association de faite,BELGIUM
1,Association de la loi de 1901,FRANCE
2,Association de loi 1901,FRANCE
1,Association de loi française 1901,FRANCE
1,Association declared under the Act of 1st July 1901,BELGIUM
1,Association droit local Alsace-Lorraine,FRANCE
1,Association déclaré,TUNISIA
1,Association déclarée,HUNGARY
1,Association déclarée selon la loi de 01.07.1901,FRANCE
1,Association enregistrée loi 1901 française,FRANCE
1,Association est régie par la loi du 19 avril 1908,FRANCE
1,Association for Specialist Tobacconists in the UK,UNITED KINGDOM
1,Association for public sector,FINLAND
4,Association française Loi 1901,FRANCE
1,Association française Loi 1901 Intérêt général,FRANCE
3,Association française loi 1901,FRANCE
1,Association française loi de 1901,FRANCE
1,Association international sans but lucratif (AISBL),BELGIUM
1,Association international sans but lucratif (a.i.s.b.l.) – International non-profit association under Belgian law,BELGIUM
1,"Association international sans but lucratif, loi Belge",BELGIUM
1,Association internationale - AISBL,BELGIUM
5,Association internationale sans but lucratif,BELGIUM
1,Association internationale à but non lucratif régie par le droit français et déclarée sous le régime de la loi du 1 er juillet 1901,FRANCE
1,Association loi  1901,FRANCE
12,Association loi 1901,FRANCE
1,Association loi 1901 (France),FRANCE
1,Association loi 1901 (French law of 1901),FRANCE
1,Association loi 1901 française,FRANCE
1,Association loi 1928 du Luxembourg,LUXEMBOURG
2,Association loi de 1901,FRANCE
1,Association loi française 1901,FRANCE
1,Association non-profit,ITALY
1,Association of French law,FRANCE
1,Association of Public Authorities,POLAND
1,Association of public authorities,NORWAY
1,Association professionelle de catégorie,ITALY
1,Association professionnelle,ITALY
2,Association professionnelle,FRANCE
1,Association reconnue d'utilité publique,FRANCE
1,Association registered by Chamber of Commerce Centraal Gelderland - reg.nr. 09182679.,GERMANY
1,Association registered in Sweden,SWEDEN
1,Association registered in the Netherlands,NETHERLANDS
1,Association registered under French law,SWITZERLAND
8,Association sans but lucratif,BELGIUM
1,Association sans but lucratif,LUXEMBOURG
1,Association sans but lucratif,FRANCE
1,Association sans but lucratif (a.s.b.l.) – Non-profit association,BELGIUM
1,Association sans but lucratif (asbl),LUXEMBOURG
1,Association sans but lucratif (asbl),BELGIUM
2,Association sans but lucratif de droit belge,BELGIUM
1,Association sans but lucratif de droit grec,GREECE
1,Association sans but lucratif de loi française 1901,FRANCE
1,Association under Austrian law,AUSTRIA
1,Association under Belgium law,BELGIUM
1,Association under British law,GERMANY
1,Association under Dutch law,NETHERLANDS
1,Association under Mexican Law,MEXICO
1,Association under Swiss law,SWITZERLAND
1,Association with legal status registered in France,FRANCE
1,Association with legal status registered in Switzerland,GERMANY
3,Association à but non lucratif,FRANCE
1,Association à but non lucratif (loi 1901),FRANCE
1,"Association, Loi 1901",FRANCE
1,"Association, non-profit organization (NGO)",HUNGARY
1,"Association, registered in Spain",SPAIN
1,Association- Loi de 1901,FRANCE
1,Association-loi du 1er juillet 1901,FRANCE
1,Association; Chamber of Commerce and Industry,PORTUGAL
1,Associative Organization,BELGIUM
1,Associaton based on a direct agreement between the Associates,ITALY
1,Associaton loi 1901,FRANCE
19,Associazione,ITALY
1,Associazione Culturale,ITALY
1,Associazione NON-PROFIT,ITALY
2,Associazione Onlus,ITALY
1,Associazione ai sensi art.36 CC e successivi,ITALY
2,Associazione culturale,ITALY
1,Associazione di Volontariato senza scopi di lucro,ITALY
2,Associazione di categoria,ITALY
1,Associazione di categoria senza fini di lucro,ITALY
1,Associazione di promozione sociale,ITALY
1,Associazione no profit,ITALY
1,Associazione non profit,ITALY
3,Associazione non riconosciuta,ITALY
1,Associazione non riconosciuta senza scopo di lucro,ITALY
2,Associazione riconosciuta,ITALY
1,Associazione sensa scopo di lucro,BELGIUM
1,Associazione senza fine di lucro,ITALY
2,Associazione senza fini di lucro,ITALY
2,Associazione senza scopo di lucro,ITALY
1,Associazione si settore,ITALY
1,Associazioni di categoria,ITALY
1,Associazioni non riconosciute e comitati,ITALY
1,Associação,PORTUGAL
1,Associação Não Lucrativa,PORTUGAL
1,Associação Patronal,PORTUGAL
1,Associação Sem Fins Lucrativos - ONG,PORTUGAL
1,Associação de Empregadores,PORTUGAL
2,Associação de direito privado,PORTUGAL
1,Associação empresarial sem fins lucrativos,PORTUGAL
2,Associação sem fins lucrativos,PORTUGAL
1,Attorney at law sole proprietor,UNITED STATES
1,Auto-entrepreneur,FRANCE
1,Autonomous Higher Education membership organisation,BELGIUM
1,Award for Youth Development,UNITED STATES
2,B.V.,NETHERLANDS
1,BE International Organisation,BELGIUM
1,BIEDRĪBA,LATVIA
1,BR n 51/2007 de 19 de Dezembro III Serie,MOZAMBIQUE
6,BV,NETHERLANDS
5,BVBA,BELGIUM
1,BVBA/SPRL,BELGIUM
1,Barrister,UNITED KINGDOM
1,Belgian AISBL,BELGIUM
1,Belgian BVBA/SPRL,BELGIUM
1,Belgian Limited Company,BELGIUM
2,Belgian SPRL,BELGIUM
1,Belgian Societe Anonyme,BELGIUM
1,Belgian non-profit association,BELGIUM
2,Belgian registered branch,BELGIUM
1,Belgium AISBL Internationale,BELGIUM
1,Belgium registered NGO,BELGIUM
1,Belgium registered company,BELGIUM
2,Beroepsvereniging,BELGIUM
1,Berufsverband,GERMANY
4,Besloten Vennootschap,NETHERLANDS
1,Besloten Vennootschap (BV),NETHERLANDS
1,Besloten Vennotschap,NETHERLANDS
1,Bestandteil eines e.V. (Deutscher Wanderverband),GERMANY
2,Biedrība,LATVIA
1,Body Governed by Public Law,GREECE
1,Body of Community Interest,UNITED KINGDOM
1,"Branch Office (""Un centre d’opération"" as described under article 26 octies of the Belgian Law of 27 June 1921 relating to non-profit associations)",UNITED STATES
1,Branch association,FINLAND
1,Branch of Hutchison Whampoa Europe Investments S.à.R.L. Luxembourg,HONG KONG
1,Branch organisation,SWEDEN
1,Bundesbehörde,GERMANY
1,Bundesinnungsverband,GERMANY
1,Business corporation with an Executive Board and a Supervisory Board. Société anonyme à Directoire et Conseil de surveillance.,FRANCE
1,"CAMARA DE COMERCIO, ORGANIZACION DE DERECHO PUBLICO",SPAIN
1,CHARITY,UNITED KINGDOM
1,CO,SPAIN
1,COMM V,BELGIUM
1,COMMUNITY BASED ORGANIZATION,KENYA
1,COMPANY,SWEDEN
1,"COMPANY LIMITED BY GUARANTEE, NPO",GERMANY
1,CONSTITUTE,NICARAGUA
1,CONSULTANT INDEPENDANT,SENEGAL
1,CONSULTANT INDEPENDANT,FRANCE
1,CORPORACION DE DERECHO PÚBLICO SIN ÁNIMO DE LUCRO,SPAIN
3,CORPORACIÓN DE DERECHO PÚBLICO,SPAIN
1,CVBA,BELGIUM
1,CVBA / SCRL,BELGIUM
1,Cabinet de avocat,ROMANIA
1,"Cefic Sector Group, AISBL",BELGIUM
1,Centro di gestione autonoma dell'Università degli Studi di Torino,ITALY
1,"Centro di gestione autonoma dell'Università di Torino, Italy",ITALY
1,Centrum van Werkzaamheiden,BELGIUM
1,Chamber of Commerce,CYPRUS
1,Charitable Trust (1040615) and Limited Company (1849442),UNITED KINGDOM
2,Charitable company limited by guarantee,UNITED KINGDOM
1,Charitable non-profit organisation (German e.V.),GERMANY
1,Charity,BELGIUM
1,Charity,AFGHANISTAN
19,Charity,UNITED KINGDOM
1,Charity Organization,GUATEMALA
1,Charity and Company Limited by guarantee,UNITED KINGDOM
1,Charity and Limited Company,UNITED KINGDOM
1,Charity and a company limited by guarantee,UNITED KINGDOM
1,Charity and company limited by guarantee,UNITED KINGDOM
1,Charity registered in England and Wales,UNITED KINGDOM
1,Charity registered in the UK,UNITED KINGDOM
1,"Charity, Medical Royal College",UNITED KINGDOM
1,"Charity, NGO",IRELAND
1,Cidadão,PORTUGAL
1,Citizen,UNITED KINGDOM
1,Civil Society Organisation,IRELAND
1,Civil Society Organization - non for profit,HUNGARY
1,Civil Society Organization - non for profit,AUSTRIA
1,Civil organization,HUNGARY
1,Civil partnership,BELGIUM
1,Club sans personnalité juridique,BELGIUM
1,Co Ltd by Guarantee,UNITED KINGDOM
1,Coalition of European trade and professional associations and civil society groups,BELGIUM
1,Commanditaire Vennootschap,BELGIUM
1,Commodity Exchange,SLOVAKIA
3,Community Interest Company,UNITED KINGDOM
1,Community Interest Company ltd by guarantee,UNITED KINGDOM
1,Community of European Shipyards' Associations,BELGIUM
1,Company,GERMANY
1,Company,SWITZERLAND
3,Company,BELGIUM
1,Company,"RUSSIA, FEDERATION OF"
1,Company,GREECE
3,Company,UNITED KINGDOM
2,Company,PORTUGAL
3,Company,UNITED STATES
1,Company (GCV),BELGIUM
1,Company / Aktiengesellschaft,GERMANY
1,Company / Aktiengesellschaft,SWITZERLAND
3,Company Limited by Guarantee,IRELAND
5,Company Limited by Guarantee,UNITED KINGDOM
1,Company Limited by Guarantee (not for profit),UNITED KINGDOM
1,Company Limited by Guarantee - Recognised as a body pursuing an aim of general European interest,IRELAND
1,Company Limited by Guarantee / Trade Association,UNITED KINGDOM
1,Company Limited by Guarantee and registered Charity,UNITED KINGDOM
1,Company Limited by Guarantee under English Law,UNITED KINGDOM
1,Company Limited by Guarantee with no share capital with CHY recognition from Irish Revenue Commissioner,IRELAND
1,Company Limited by Shares,SWEDEN
1,Company Limited by guarantee non profit,UNITED KINGDOM
1,Company Ltd by guarantee,UNITED KINGDOM
1,Company Registered in England,UNITED KINGDOM
1,Company Registered in England and Wales,UNITED KINGDOM
1,Company Registered in Ireland Limited by Guarantee,IRELAND
1,Company incorporated by Royal Charter,UNITED KINGDOM
9,Company limited by guarantee,UNITED KINGDOM
1,Company limited by guarantee,IRELAND
1,Company limited by guarantee & not having a share capital,UNITED KINGDOM
1,Company limited by guarantee and not having share capital,UNITED KINGDOM
1,"Company limited by guarantee part of the Christian faith community with exclusively charitable objects, registered with the Charity Commission for England and Wales",UNITED KINGDOM
1,"Company limited by guarantee, registered in England & Wales (Registration number 3652136",UNITED KINGDOM
1,"Company limited by guarantee, registered in England and Wales",UNITED KINGDOM
1,Company limited by shares,UNITED KINGDOM
1,Company limited by shares,UNITED STATES
1,Company limited by shares,NETHERLANDS
1,Company: French Societe Anonyme,FRANCE
1,Confederación,SPAIN
1,Conseiller juridique indépendant,BELGIUM
1,Consorzio,ITALY
1,Constituted body,UNITED KINGDOM
1,Consultancy,SPAIN
1,Consultancy,BELGIUM
1,Consultancy Agency,ITALY
1,Consultancy company,ITALY
1,Consultant,FRANCE
1,Consultant,ITALY
1,Consultant indépendant,FRANCE
1,Consulting firm,UGANDA
1,Consulting/Aerospace-Defense,CANADA
1,Cooperatieve vereniging,NETHERLANDS
1,Cooperativa,PORTUGAL
1,Cooperativa,ITALY
1,"Cooperativa de Solidariedade Social, CRL",PORTUGAL
1,Cooperative,FINLAND
1,Cooperative,SPAIN
1,Cooperative Limited,IRELAND
1,Corporación de Derecho Público,SPAIN
1,Corporación de Derecho público,SPAIN
1,Corporate,ITALY
1,Corporation,DENMARK
1,Corporation,FRANCE
2,Corporation,UNITED KINGDOM
20,Corporation,UNITED STATES
1,Corporation,ARGENTINA
5,Corporation,SWITZERLAND
1,Corporation,SWEDEN
1,Corporation - publicly traded,UNITED STATES
1,Créé par ordonnance du 24 septembre 1945,FRANCE
1,Czech national association of ICT industry,CZECH REPUBLIC
1,DE FACTO ASSOCIATION,BELGIUM
1,Danish NGO,DENMARK
1,Danmark mod Landminer,DENMARK
2,De facto association,BELGIUM
1,Die ARD und ihre Mitglieder sind Körperschaften des öffentlichen Rechts,BELGIUM
1,"Die DK hat keinen rechtlichen Status, sondern ist ein Zusammenschluss von Verbänden ohne eigene Infrastruktur und ohne eigenes Budget.",GERMANY
1,Digital Tidskrift,SWEDEN
1,Director,UNITED KINGDOM
1,Ditta Individuale (Libero Professionista),ITALY
1,Ditta individuale,ITALY
3,Društvo,SLOVENIA
1,Dutch Foundation (in Germany: Stiftungsverein e.V.),GERMANY
1,Dutch Private Company,NETHERLANDS
1,Dutch Stichting,UNITED KINGDOM
1,Dutch Stichting BirdLife Europe,BELGIUM
1,Dutch private limited liability company,NETHERLANDS
3,E.E.I.G.,BELGIUM
4,EEIG,BELGIUM
1,EEIG,SPAIN
1,EEIG,NETHERLANDS
1,EHRENBERG Kommunikation GmbH,GERMANY
1,EIG,LUXEMBOURG
1,EMANAZIONE DELL'ASSOCIAZIONE REAL CASA DI PORTOGALLO SENZA SCOPO DI LUCRO,ITALY
1,"EMPRESA PRIVADA, SOCIEDAD ANÓNIMA",SPAIN
1,ENTE PUBBLICO,ITALY
1,ENTE PUBBLICO NON ECONOMICO,ITALY
1,ENTREPRISE,FRANCE
1,EPBA has no legal status,BELGIUM
1,EPCI,FRANCE
1,EPIC,FRANCE
1,EPIC (French Public Research Institute),FRANCE
2,EPIC (établissement public industriel et commercial),FRANCE
1,EPOS vzw,BELGIUM
2,EPST,FRANCE
1,ETABLISSEMENT PUBLIC A CARACTERE SCIENTIFIQUE ET TECHNOLOGIQUE,FRANCE
1,EU Advocacy office,BELGIUM
1,EU Project,ARMENIA
1,EU-Vertrag in Verbindung mit § 19 Abs. 4 ROG,GERMANY
5,EURL,FRANCE
1,EUROPEAN REPRESENTATIVE OF TOURIST GUIDES,FRANCE
1,Economic Interest Group,"KOREA, REPUBLIC OF"
1,Egyesület,HUNGARY
1,Eingetragene Vereinigung,GERMANY
1,Eingetragener Kaufmann,GERMANY
29,Eingetragener Verein,GERMANY
2,Eingetragener Verein (e.V.),GERMANY
1,Eingetragener Verein (gemeinnützig),GERMANY
1,Eingetragener Verein e.V. (nach deutschem Recht),GERMANY
1,Eingetragener Verein nach deutschem Recht,GERMANY
1,Eingetragener Verrein,GERMANY
1,Einzelgesellschaft,GERMANY
1,Einzelunternehmen,AUSTRIA
1,Ej tillämpligt,SWEDEN
1,Ekspert,POLAND
1,Employers Organisation,DENMARK
1,Empresa,SPAIN
1,Empresa por quotas Limitada,PORTUGAL
1,Endesa SA,SPAIN
1,Ente Morale DPR16/09/59 n.932,ITALY
1,Ente Pubblico Economico,ITALY
1,Ente Pubblico non economico,ITALY
1,Ente Religioso,ITALY
1,Entidad sin ánimo de lucro,SPAIN
1,Entity with independent legal personality,IRELAND
1,Entreprise Individuelle,FRANCE
1,Entreprise personne physique,BELGIUM
1,Equipe de recherche habilitée par le Ministère français de l'Enseignement supérieur et de la recherche,FRANCE
1,Established by Royal Charter in 1922,UNITED KINGDOM
1,Etablissement Public Administratif de l'Etat,FRANCE
1,Etablissement d'utilité publique créé par l'ordonnance du 02/11/1945,FRANCE
2,Etablissement public,FRANCE
1,Etablissement public Administratif de l’Etat,FRANCE
1,Etablissement public administratif de l'Etat,FRANCE
1,Eurobat is not a legal entity,BELGIUM
1,European Association,BELGIUM
1,European Association according to Belgian Law,BELGIUM
2,European Economic Interest Grouping,BELGIUM
1,European Economic Interest Grouping,FINLAND
1,European Economic Interest Grouping - EEIG,BELGIUM
1,European Network,BULGARIA
1,European non-profit making NGO,FRANCE
1,Europäische wirtschaftliche Interessenvereinigung,GERMANY
1,Eventia Limited,UNITED KINGDOM
1,FACTUAL ASSOCIATION,BELGIUM
1,FEDERACION SIN ANIMO DE LUCRO,SPAIN
1,FEDERATION,SPAIN
1,FOHNEU NO1423-96,FRANCE
1,FOUNDATION,SPAIN
1,FOUNDATION,DOMINICAN REPUBLIC
1,FUNDACION,SPAIN
1,FUNDACIÓN,SPAIN
1,FUNDACIÓN DEL SECTOR PÚBLICO,BELGIUM
1,FUNDACIÓN PRIVADA SIN ÁNIMO DE LUCRO,SPAIN
1,Farmers' Association representing farmers in Malta,MALTA
1,Federación,SPAIN
1,Federation,SPAIN
2,Federation,NETHERLANDS
2,Federation,GERMANY
1,Federico Leiva Pardes,SPAIN
1,Feitelijke vereniging,BELGIUM
1,Finans og Leasing,DENMARK
1,Fokker Technologies is de handelsnaam van Fokker Technologies Holding B.V.,NETHERLANDS
1,Fonctionnaire,BELGIUM
2,Fondation,FRANCE
2,Fondation d'utilité publique,BELGIUM
1,Fondation privée,BELGIUM
1,Fondation privée / Private Stichting,BELGIUM
1,Fondation reconnue d'utilité publique,FRANCE
1,Fondation suisse à but non lucratif,SWITZERLAND
1,Fondazione,ITALY
1,Fonds,AUSTRIA
1,Fonds de dotation,FRANCE
1,For-Profit Corporation,UNITED STATES
1,For-profit Company,UNITED KINGDOM
1,For-profit Corporation,UNITED STATES
4,Forening,DENMARK
1,Foundation,SAINT MARINO
4,Foundation,ITALY
3,Foundation,SWEDEN
10,Foundation,NETHERLANDS
2,Foundation,SPAIN
1,Foundation,HUNGARY
1,Foundation,NORWAY
2,Foundation,POLAND
2,Foundation,BELGIUM
2,Foundation,SWITZERLAND
1,Foundation,UNITED STATES
1,Foundation (Nederlandse stichting),BELGIUM
1,Foundation (Stichting van openbaar nut),BELGIUM
2,Foundation (Stichting),NETHERLANDS
1,Foundation / Icelandic self-owned entity (SES),ICELAND
1,Foundation under Dutch law,NETHERLANDS
1,Foundation under Dutch law (Stichting),BELGIUM
1,Foundation under the Cyprus Trusts Law,CYPRUS
1,"Foundation, private non profit making",SPAIN
1,Foundationan,NETHERLANDS
1,Free association,ITALY
1,Freelance,SPAIN
2,Freelance consultant,NETHERLANDS
1,Freelancer Consultant,ROMANIA
1,French Société Anonyme (public limited company),FRANCE
1,French association according to 1901 law,FRANCE
1,Friendly Society,IRELAND
3,Fundación,SPAIN
1,Fundación Pública,SPAIN
1,Fundación privada sin ánimo de lucro,SPAIN
1,Fundacja,POLAND
1,Fundação,SPAIN
1,Fédération,FRANCE
1,Fédération d'entreprises,FRANCE
